title,author,publisher,supplier,category_1,category_2,category_3,original_price,discount_price,discount_percent,rating,rating_count,sold_count,sold_count_numeric,publish_year,language,page_count,weight,dimensions,url,url_img,time_collect
Bác Hồ Viết Tuyên Ngôn Độc Lập - Ấn Bản Kỉ Niệm 80 Năm Quốc Khánh - Tặng Kèm Postcard - Độc Quyền Fahasa,Kiều Mai Sơn,Kim Đồng,Nhà Xuất Bản Kim Đồng,Sách trong nước,LỊCH SỬ - ĐỊA LÝ - TÔN...,LỊCH SỬ,52500.0,52500.0,0.0,0.0,0,5.9,59,2025,Tiếng Việt,144,0.27,19 x 13 x 0.7 cm,https://www.fahasa.com/bac-ho-viet-tuyen-ngon-doc-lap-an-ban-ki-niem-80-nam-quoc-khanh-tang-kem-postcard-doc-quyen-fahasa.html?fhs_campaign=CATEGORY,https://cdn1.fahasa.com/media/catalog/product/z/6/z6879296494675_70a537fe23016622b5f036060d3cad64.jpg,2025-11-21 16:11:23
Mưa Đỏ,Chu Lai,Quân Đội Nhân Dân,Cty Tri Thức Văn Hóa Sách VN,Sách trong nước,VĂN HỌC,TIỂU THUYẾT,184500.0,184500.0,0.0,5.0,0,10k+,10000,2025,Tiếng Việt,334,0.35,22 x 14 x 1.6 cm,https://www.fahasa.com/mua-do-643343.html?fhs_campaign=CATEGORY,https://cdn1.fahasa.com/media/catalog/product/m/u/muado.jpg,2025-11-21 16:11:27
Búp Sen Xanh - Bìa Cứng - Tặng Kèm Obi + Postcard Hành Trình Cứu Nước - Độc Quyền Fahasa,Sơn Tùng,Kim Đồng,Nhà Xuất Bản Kim Đồng,Sách trong nước,THIẾU NHI,TRUYỆN THIẾU NHI - TRUYỆN ĐỌC THIẾU NHI,11000.0,11000.0,0.0,5.0,0,10k+,10000,2025,Tiếng Việt,444,0.56,19 x 13 x 2.4 cm,https://www.fahasa.com/bup-sen-xanh-bia-cung-tang-kem-obi-postcard-hanh-trinh-cuu-nuoc-doc-quyen-fahasa.html?fhs_campaign=CATEGORY,https://cdn1.fahasa.com/media/catalog/product/u/n/untitled-7.jpg,2025-11-21 16:11:33
Vật Lí 12 (Kết Nối) (Chuẩn),Nhiều Tác Giả,Giáo Dục Việt Nam,Nhà xuất bản Giáo Dục,Sách trong nước,GIÁO KHOA - THAM KHẢO,SÁCH GIÁO KHOA - GIÁO KHOA LỚP 12,17000.0,17000.0,0.0,0.0,0,2.3,23,2024,Tiếng Việt,80,0.1,26.5 x 19 x 0.4 cm,https://www.fahasa.com/vat-li-12-ket-noi-chuan.html?fhs_campaign=CATEGORY,https://cdn1.fahasa.com/media/catalog/product/9/7/9786040392565.jpg,2025-11-21 16:11:38
Bộ Lịch Sử 11 (Chân Trời Sáng Tạo) (Chuẩn),Nhiều Tác Giả,Giáo Dục Việt Nam,Nhà xuất bản Giáo Dục,Sách trong nước,GIÁO KHOA - THAM KHẢO,SÁCH GIÁO KHOA - GIÁO KHOA LỚP 11,15000.0,15000.0,0.0,0.0,0,2.9,29,2023,Tiếng Việt,100,0.185,26.5 x 19 x 0.4 cm,https://www.fahasa.com/lich-su-11-ct-n3.html?fhs_campaign=CATEGORY,https://cdn1.fahasa.com/media/catalog/product/9/7/9786040351937.jpg,2025-11-21 16:11:44
