title,author,publisher,supplier,category_1,category_2,category_3,original_price,discount_price,discount_percent,rating,rating_count,sold_count,sold_count_numeric,publish_year,language,page_count,weight,dimensions,url,url_img,time_collect
Bác Hồ Viết Tuyên Ngôn Độc Lập - Ấn Bản Kỉ Niệm 80 Năm Quốc Khánh - Tặng Kèm Postcard - Độc Quyền Fahasa,Kiều Mai Sơn,Kim Đồng,Nhà Xuất Bản Kim Đồng,Sách trong nước,LỊCH SỬ - ĐỊA LÝ - TÔN...,LỊCH SỬ,52500.0,52500.0,0.0,0.0,0,5.9,59,2025,Tiếng Việt,144,0.27,19 x 13 x 0.7 cm,https://www.fahasa.com/bac-ho-viet-tuyen-ngon-doc-lap-an-ban-ki-niem-80-nam-quoc-khanh-tang-kem-postcard-doc-quyen-fahasa.html?fhs_campaign=CATEGORY,https://cdn1.fahasa.com/media/catalog/product/z/6/z6879296494675_70a537fe23016622b5f036060d3cad64.jpg,2025-11-12 01:01:36
Bộ Ngữ Văn 12 - Tập 2 (Chân Trời) (Chuẩn),Nhiều Tác Giả,Giáo Dục Việt Nam,Nhà xuất bản Giáo Dục,Sách trong nước,GIÁO KHOA - THAM KHẢO,SÁCH GIÁO KHOA - GIÁO KHOA LỚP 12,19000.0,19000.0,0.0,0.0,0,3.8,38,2024,Tiếng Việt,144,0.255,26.5 x 19 x 0.7 cm,https://www.fahasa.com/ngu-van-12-tap-2-chan-troi-chuan.html?fhs_campaign=CATEGORY,https://cdn1.fahasa.com/media/catalog/product/9/7/9786040393388.jpg,2025-11-12 01:01:43
Mưa Đỏ,Chu Lai,Quân Đội Nhân Dân,Cty Tri Thức Văn Hóa Sách VN,Sách trong nước,VĂN HỌC,TIỂU THUYẾT,184500.0,184500.0,0.0,5.0,0,10k+,10000,2025,Tiếng Việt,334,0.35,22 x 14 x 1.6 cm,https://www.fahasa.com/mua-do-643343.html?fhs_campaign=CATEGORY,https://cdn1.fahasa.com/media/catalog/product/m/u/muado.jpg,2025-11-12 01:01:51
Bộ Toán 11 - Tập 1 (Chân Trời Sáng Tạo) (Chuẩn),Nhiều Tác Giả,Giáo Dục Việt Nam,Nhà xuất bản Giáo Dục,Sách trong nước,GIÁO KHOA - THAM KHẢO,SÁCH GIÁO KHOA - GIÁO KHOA LỚP 11,21000.0,21000.0,0.0,0.0,0,3.5,35,2023,Tiếng Việt,152,0.275,26.5 x 19 x 0.6 cm,https://www.fahasa.com/toan-11-1-ct-n3.html?fhs_campaign=CATEGORY,https://cdn1.fahasa.com/media/catalog/product/9/7/9786040351951.jpg,2025-11-12 01:02:00
Bộ Ngữ Văn 11 - Tập 1 (Chân Trời Sáng Tạo) (Chuẩn),Nhiều Tác Giả,Giáo Dục Việt Nam,Nhà xuất bản Giáo Dục,Sách trong nước,GIÁO KHOA - THAM KHẢO,SÁCH GIÁO KHOA - GIÁO KHOA LỚP 11,20000.0,20000.0,0.0,0.0,0,3.1,31,2023,Tiếng Việt,148,0.27,26.5 x 19 x 0.5 cm,https://www.fahasa.com/ngu-van-11-1-ct-n3.html?fhs_campaign=CATEGORY,https://cdn1.fahasa.com/media/catalog/product/9/7/9786040351999.jpg,2025-11-12 01:02:20
Búp Sen Xanh - Bìa Cứng - Tặng Kèm Obi + Postcard Hành Trình Cứu Nước - Độc Quyền Fahasa,Sơn Tùng,Kim Đồng,Nhà Xuất Bản Kim Đồng,Sách trong nước,THIẾU NHI,TRUYỆN THIẾU NHI - TRUYỆN ĐỌC THIẾU NHI,10000.0,10000.0,0.0,5.0,0,10k+,10000,2025,Tiếng Việt,444,0.56,19 x 13 x 2.4 cm,https://www.fahasa.com/bup-sen-xanh-bia-cung-tang-kem-obi-postcard-hanh-trinh-cuu-nuoc-doc-quyen-fahasa.html?fhs_campaign=CATEGORY,https://cdn1.fahasa.com/media/catalog/product/u/n/untitled-7.jpg,2025-11-12 01:02:35
Bộ Chú Thuật Hồi Chiến - Tập 25 - Bản Đặc Biệt - Tặng Kèm Bìa PVC + Set Card + Hộp Đựng Card,Gege Akutami,Kim Đồng,Nhà Xuất Bản Kim Đồng,Sách trong nước,MANGA - COMIC,MANGA - MANGA KHÁC,83500.0,83500.0,0.0,0.0,0,1.2,12,2025,Tiếng Việt,208,0.245,17.6 x 11.3 x 1 cm,https://www.fahasa.com/chu-thuat-hoi-chien-tap-25-ban-dac-biet-tang-kem-bia-pvc-set-card-hop-dung-card.html?fhs_campaign=CATEGORY,https://cdn1.fahasa.com/media/catalog/product/c/h/chu-thuat-hoi-chien_ban-dac-biet_tap-25_bia_qua-tang.jpg,2025-11-12 01:05:12
